ano,mes,conselho,conta,conta_norm,soma_d,soma_c,n_lancamentos
2022,1,CFC,6.3.1.3.02.01.002,63130201002,20958.0,0.0,1
2022,1,CFC,6.3.1.3.02.01.003,63130201003,46752.71,0.0,3
2022,1,CFC,6.3.1.3.02.01.005,63130201005,92183.73,0.0,6
2022,1,CFC,6.3.1.3.02.01.007,63130201007,4872.1,0.0,1
2022,1,CFC,6.3.1.3.02.01.008,63130201008,43559.67,0.0,4
2022,1,CFC,6.3.1.3.02.01.009,63130201009,121178.4,0.0,2
2022,1,CFC,6.3.1.3.02.01.010,63130201010,100.0,0.0,1
2022,1,CFC,6.3.1.3.02.01.012,63130201012,2265.2,0.0,3
2022,1,CFC,6.3.1.3.02.01.013,63130201013,47629.07,0.0,4
2022,1,CFC,6.3.1.3.02.01.017,63130201017,3054.95,0.0,1
2022,1,CFC,6.3.1.3.02.01.018,63130201018,2000.0,0.0,1
2022,1,CFC,6.3.1.3.02.01.021,63130201021,12545.33,0.0,1
2022,1,CFC,6.3.1.3.02.01.026,63130201026,1292.22,0.0,1
2022,1,CFC,6.3.1.3.02.01.029,63130201029,2480.77,0.0,2
2022,1,CFC,6.3.1.3.02.01.030,63130201030,55771.55,0.0,6
2022,1,CFC,6.3.1.3.02.01.032,63130201032,50153.27,0.0,2
2022,1,CFC,6.3.1.3.02.01.033,63130201033,6238.9,0.0,1
2022,1,CFC,6.3.1.3.02.01.035,63130201035,7928.7,0.0,1
2022,1,CFC,6.3.1.3.02.01.036,63130201036,2482.5,0.0,3
2022,1,CFC,6.3.1.3.02.01.037,63130201037,4310.639999999999,0.0,3
2022,1,CFC,6.3.1.3.02.01.039,63130201039,2259.62,0.0,2
2022,1,CFC,6.3.1.3.02.01.040,63130201040,4130.0,0.0,6
2022,1,CFC,6.3.1.3.02.01.045,63130201045,1365.84,0.0,1
2022,1,CFC,6.3.1.3.02.03.001,63130203001,14250.0,0.0,7
2022,1,CFC,6.3.1.3.02.03.002,63130203002,21210.0,0.0,12
2022,1,CFC,6.3.1.3.02.03.003,63130203003,1050.0,0.0,1
2022,1,CFC,6.3.1.4.01.02.001,63140102001,301.2,0.0,10
2022,1,CFC,6.3.1.4.01.02.002,63140102002,73.5,0.0,15
2022,1,CFC,6.3.1.6.01.01.002,63160101002,24203.649999999998,0.0,2
2022,1,CFC,6.3.1.9.01.01.002,63190101002,16013.349999999999,0.0,4
2022,1,CFC,6.3.2.1.05.01.002,63210501002,440390.39,0.0,2
2022,1,CFC,6.3.9.1.01.01.001,63910101001,81291.7,2561967.27,143
2022,1,CFC,6.3.9.1.01.01.002,63910101002,0.0,440390.39,2
2022,1,CFC,6.4.1.1.03.01.001,64110301001,505383.1,0.0,5
2022,1,CFC,6.4.1.1.03.01.002,64110301002,134792.78,0.0,2
2022,1,CFC,6.4.1.1.03.01.003,64110301003,638970.33,0.0,37
2022,1,CFC,6.4.1.1.03.02.004,64110302004,2459.0,0.0,1
2022,1,CFC,6.4.1.1.04.01.001,64110401001,444261.31,505383.1,6
2022,1,CFC,6.4.1.1.04.01.002,64110401002,129008.21,134792.78,3
2022,1,CFC,6.4.1.1.04.01.003,64110401003,598638.75,638970.33,38
2022,1,CFC,6.4.1.1.04.01.005,64110401005,543108.28,0.0,1
2022,1,CFC,6.4.1.1.04.01.009,64110401009,4569.88,0.0,1
2022,1,CFC,6.4.1.1.04.02.002,64110402002,136881.12,0.0,1
2022,1,CFC,6.4.1.1.04.02.004,64110402004,182406.01,0.0,1
2022,2,CFC,1.1.1.1.03.01.001,11110301001,4180487.98,4180487.98,55
2022,2,CFC,1.1.1.1.03.02.001,11110302001,11957038.280000001,12696808.42,513
2022,2,CFC,1.1.1.1.03.02.002,11110302002,1000.0,154.5,19
2022,2,CFC,1.1.1.1.05.01.001,11110501001,4568075.57,0.0,20
2022,2,CFC,1.1.1.1.05.02.006,11110502006,45637.1,0.0,1
2022,2,CFC,1.1.1.1.05.02.007,11110502007,45413.93,1000.0,2
2022,2,CFC,1.1.1.1.05.02.010,11110502010,44879.18,0.0,1
2022,2,CFC,1.1.1.1.05.02.012,11110502012,46672.1,0.0,1
2022,2,CFC,1.1.1.1.05.02.013,11110502013,8428241.46,2700000.0,6
2022,2,CFC,1.1.1.1.05.02.014,11110502014,38366.94,0.0,1
2022,2,CFC,1.1.1.1.05.02.016,11110502016,1552.54,0.0,1
2022,2,CFC,1.1.1.1.06.01.016,11110601016,2000.0,2000.0,3
2022,2,CFC,1.1.1.1.06.01.017,11110601017,2000.0,0.0,1
2022,2,CFC,1.1.1.1.07.01.002,11110701002,30000.0,28212.39,5
2022,2,CFC,1.1.1.1.07.04.001,11110704001,0.0,99.0,1
2022,2,CFC,1.1.1.1.07.04.002,11110704002,0.0,135.5,2
2022,2,CFC,1.1.1.1.07.04.005,11110704005,0.0,99.0,1
2022,2,CFC,1.1.1.1.07.06.002,11110706002,22795.16,0.0,1
2022,2,CFC,1.1.1.1.07.06.003,11110706003,1422.13,0.0,1
2022,2,CFC,1.1.1.1.07.06.006,11110706006,1519.72,0.0,1
2022,2,CFC,1.1.1.1.07.06.007,11110706007,22050.71,0.0,1
2022,2,CFC,1.1.1.1.07.06.008,11110706008,4222.74,30000.0,2
2022,2,CFC,1.1.2.1.04.01.001,11210401001,0.0,21863.0,19
2022,2,CFC,1.1.2.1.04.01.002,11210401002,0.0,90237.45,19
2022,2,CFC,1.1.2.1.04.01.003,11210401003,0.0,124760.02,19
2022,2,CFC,1.1.2.1.04.01.004,11210401004,0.0,23883.100000000002,19
2022,2,CFC,1.1.2.1.04.01.005,11210401005,0.0,403544.3,19
2022,2,CFC,1.1.2.1.04.01.006,11210401006,0.0,282422.05,19
2022,2,CFC,1.1.2.1.04.01.007,11210401007,0.0,371017.48,19
2022,2,CFC,1.1.2.1.04.01.008,11210401008,0.0,326896.07,19
2022,2,CFC,1.1.2.1.04.01.009,11210401009,0.0,337742.66,19
2022,2,CFC,1.1.2.1.04.01.010,11210401010,0.0,110511.28,19
2022,2,CFC,1.1.2.1.04.01.011,11210401011,0.0,1641690.7,19
2022,2,CFC,1.1.2.1.04.01.012,11210401012,0.0,197527.71,20
2022,2,CFC,1.1.2.1.04.01.013,11210401013,0.0,216177.69,19
